FRN,471 Application Number,BEN,Applicant Name,Type of Connections,Number of Lines,Download Speed
2559616,936988,16050868,DR. CHARLES DREW ACADEMY,T1/DS-1,1,1.5
2559618,937011,143913,BUENA VISTA ELEM SCH DISTRICT,T3/DS-3,1,45
2559621,937011,143913,BUENA VISTA ELEM SCH DISTRICT,Fiber optic/OC-x,1,100
2559623,937011,143913,BUENA VISTA ELEM SCH DISTRICT,Fiber optic/OC-x,1,100
2559624,937011,143913,BUENA VISTA ELEM SCH DISTRICT,Fiber optic/OC-x,1,100
2559629,936964,125952,EAST STROUDSBURG AREA SCH DIST,Fiber optic/OC-x,8,1000
2559631,936991,66978,ZEELAND PUBLIC SCHOOL,T1/DS-1,1,1.5
2559634,936964,125952,EAST STROUDSBURG AREA SCH DIST,Fiber optic/OC-x,1,1000
2559635,937001,131199,HOME TOWNSHIP LIBRARY,Cable,1,35
2559644,937027,131259,SARANAC PUBLIC LIBRARY,Cable,1,15
2559645,937026,10651,ST JOSEPH SCHOOL FOR THE DEAF,T1/DS-1,2,1.5
2559655,936701,220683,TEXANS CAN!,Fiber optic/OC-x,10,100
2559655,936701,220683,TEXANS CAN!,Fiber optic/OC-x,2,1000
2559659,936964,125952,EAST STROUDSBURG AREA SCH DIST,Cellular Wireless,14,54
2559660,936432,126584,GILES COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,4,10
2559667,936432,126584,GILES COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,50
2559672,936432,126584,GILES COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,10
2559673,937041,89519,HOLY ROSARY SCHOOL,Cable,1,6
2559677,937027,131259,SARANAC PUBLIC LIBRARY,Cable,1,15
2559680,937024,12245,ST ANDREW AVELLINO SCHOOL,Cable,1,10
2559683,937008,141805,BOOKER INDEP SCHOOL DISTRICT,DSL,1,20
2559694,937083,110910,EEL RIVER CHARTER SCHOOL,DSL,2,3
2559695,937074,128456,SHARON PUBLIC LIBRARY,DSL,1,20
2559697,937054,131064,SANILAC DISTRICT LIBRARY,Fiber optic/OC-x,1,10
2559698,936864,134308,SPEARFISH SCHOOL DISTRICT 40-2,Fiber optic/OC-x,1,100
2559701,936357,139427,DE QUEEN-MENA EDUCATIONAL COOP,Fiber optic/OC-x,1,50
2559702,937050,139999,MOORELAND INDEP SCH DIST IOO 2,DSL,1,3
2559707,937048,130885,GROSSE ILE TWP SCHOOL DISTRICT,Fiber optic/OC-x,1,125
2559709,937024,12245,ST ANDREW AVELLINO SCHOOL,Dial-up,5,0.056
2559714,937084,131315,CLIMAX-SCOTTS COMM SCHOOL DIST,Fiber optic/OC-x,1,20
2559716,937080,57605,ST MICHAEL SCHOOL,Non-Cellular Wireless (e.g.microwave),1,6
2559718,937084,131315,CLIMAX-SCOTTS COMM SCHOOL DIST,T1/DS-1,1,1.5
2559721,937046,132589,WASHINGTON PUBLIC LIBRARY,Cable,1,12
2559728,937084,131315,CLIMAX-SCOTTS COMM SCHOOL DIST,Fiber optic/OC-x,1,1
2559734,936991,66978,ZEELAND PUBLIC SCHOOL,Dial-up,1,0.056
2559735,937061,141227,HARRIS COUNTY PUBLIC LIBRARY,Fiber optic/OC-x,1,300
2559743,936725,138226,BLAIR PUBLIC SCHOOLS,Fiber optic/OC-x,1,1000
2559746,937140,144784,MODOC JOINT UNIF SCHOOL DIST,Cellular Wireless,2,4000
2559757,937110,88894,JOHN PAUL II SCHOOL,Cable,1,50
2559758,937115,110910,EEL RIVER CHARTER SCHOOL,DSL,2,3
2559760,937117,143946,FRUITVALE ELEM SCHOOL DISTRICT,Cellular Wireless,22,4000
2559763,937117,143946,FRUITVALE ELEM SCHOOL DISTRICT,Fiber optic/OC-x,6,1000
2559769,937117,143946,FRUITVALE ELEM SCHOOL DISTRICT,Fiber optic/OC-x,1,50
2559771,937117,143946,FRUITVALE ELEM SCHOOL DISTRICT,Fiber optic/OC-x,1,50
2559783,937127,131330,DELTON DISTRICT LIBRARY,Fiber optic/OC-x,1,7
2559786,937104,16030550,TURQUOISE TRAIL ELEMENTARY CHARTER SCHOOL,Fiber optic/OC-x,1,50
2559794,937168,16056273,FOUR RIVERS COMMUNITY SCHOOL,DSL,1,50
2559806,937194,142706,FRUITLAND SCHOOL DIST 373,DSL,1,100
2559807,937141,131209,HASLETT PUBLIC SCHOOLS,Fiber optic/OC-x,1,1000
2559808,937156,16056061,WASHINGTON-PARKS ACADEMY,Cable,1,70
2559809,937140,144784,MODOC JOINT UNIF SCHOOL DIST,T1/DS-1,1,1.5
2559812,937156,16056061,WASHINGTON-PARKS ACADEMY,Fiber optic/OC-x,1,100
2559815,937140,144784,MODOC JOINT UNIF SCHOOL DIST,Fiber optic/OC-x,1,100
2559818,937194,142706,FRUITLAND SCHOOL DIST 373,T1/DS-1,1,1.5
2559821,937190,125357,DERRY AREA SCHOOL DISTRICT,Fiber optic/OC-x,1,50
2559834,937126,132443,SIDNEY PUBLIC LIBRARY,DSL,2,3
2559870,937205,131209,HASLETT PUBLIC SCHOOLS,Cellular Wireless,23,4
2559896,937214,144457,FORESTVILLE UNION ELEM DIST,T1/DS-1,1,1.5
2559908,937193,127430,MONROE COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,800
2559949,937223,138827,SARGENT TOWNSHIP LIBRARY,DSL,1,3
2559967,937308,126844,MONTGOMERY COUNTY SCHOOL DIST,Fiber optic/OC-x,9,250
2559967,937308,126844,MONTGOMERY COUNTY SCHOOL DIST,Fiber optic/OC-x,2,500
2559967,937308,126844,MONTGOMERY COUNTY SCHOOL DIST,Fiber optic/OC-x,1,1000
2559974,937331,89792,OUR LADY OF FATIMA SCHOOL-GALENA PARK,Cable,1,20
2559977,937333,144649,CLEAR CREEK ELEM SCH DISTRICT,T1/DS-1,1,1.5
2559980,937359,144182,JOHN SWETT UNIFIED SCHOOL DIST,T1/DS-1,1,1.5
2559984,937359,144182,JOHN SWETT UNIFIED SCHOOL DIST,T1/DS-1,1,1.5
2559985,937359,144182,JOHN SWETT UNIFIED SCHOOL DIST,Cellular Wireless,30,4000
2559988,937174,126398,TALBOT COUNTY PUBLIC SCH DIST,Cellular Wireless,2,5
